iter	Passed	Remaining
607	11402	7351
608	11418	7331
609	11434	7310
610	11451	7290
611	11466	7269
612	11484	7250
613	11508	7234
614	11526	7215
615	11544	7196
616	11561	7176
617	11577	7156
618	11593	7135
619	11610	7116
620	11626	7095
621	11642	7075
622	11658	7055
623	11675	7035
624	11690	7014
625	11705	6993
626	11721	6973
627	11737	6952
628	11752	6931
629	11768	6911
630	11784	6891
631	11800	6871
632	11815	6850
633	11832	6830
634	11848	6810
635	11863	6789
636	11879	6769
637	11895	6749
638	11917	6732
639	11936	6714
640	11962	6699
641	11985	6683
642	12004	6665
643	12030	6650
644	12057	6636
645	12084	6622
646	12105	6604
647	12138	6593
648	12167	6580
649	12188	6563
650	12210	6546
651	12236	6531
652	12259	6514
653	12300	6507
654	12333	6496
655	12361	6482
656	12386	6466
657	12413	6451
658	12434	6434
659	12454	6416
660	12481	6401
661	12499	6381
662	12516	6362
663	12533	6342
664	12550	6322
665	12566	6301
666	12582	6281
667	12599	6261
668	12614	6241
669	12631	6221
670	12648	6201
671	12664	6181
672	12680	6161
673	12697	6141
674	12712	6121
675	12731	6102
676	12752	6084
677	12775	6067
678	12796	6049
679	12817	6031
680	12841	6015
681	12863	5997
682	12883	5979
683	12902	5960
684	12922	5942
685	12944	5925
686	12967	5907
687	12987	5889
688	13009	5872
689	13031	5854
690	13054	5837
691	13070	5817
692	13087	5797
693	13103	5777
694	13118	5756
695	13136	5737
696	13153	5718
697	13170	5698
698	13184	5677
699	13200	5657
700	13215	5636
701	13231	5616
702	13247	5596
703	13263	5576
704	13280	5557
705	13297	5537
706	13314	5517
707	13330	5497
708	13346	5478
709	13364	5458
710	13380	5438
711	13396	5418
712	13410	5398
713	13427	5378
714	13442	5358
715	13458	5338
716	13475	5318
717	13491	5298
718	13509	5279
719	13526	5260
720	13542	5240
721	13558	5220
722	13574	5200
723	13589	5180
724	13605	5160
725	13621	5141
726	13637	5121
727	13653	5101
728	13669	5081
729	13684	5061
730	13699	5041
731	13715	5021
732	13730	5001
733	13745	4981
734	13761	4961
