iter	MultiClass
422	0.8597992607
423	0.8594753118
424	0.8592923381
425	0.8589663619
426	0.8586465517
427	0.8583435778
428	0.8581327138
429	0.8577644292
430	0.8575767928
431	0.8573947202
432	0.8571917329
433	0.8569163779
434	0.8564349876
435	0.8560580428
436	0.8557099588
437	0.8554907515
438	0.8551986385
439	0.8548269655
440	0.8542247982
441	0.8540141015
442	0.8536652578
443	0.8532403469
444	0.8527039355
445	0.8521141114
446	0.8518670673
447	0.8516129633
448	0.8514000453
449	0.8511169545
450	0.8508207467
451	0.8504620181
452	0.8501673916
453	0.849786199
454	0.8495570609
455	0.849181799
456	0.8488193219
457	0.8485403366
458	0.848108581
459	0.8480247331
460	0.8477103108
461	0.8474544737
462	0.8469292437
463	0.8468119111
464	0.8464473702
465	0.8462263485
466	0.8458094471
467	0.8454285221
468	0.8450371232
469	0.8448847457
470	0.8447034985
471	0.8442864595
472	0.843743416
473	0.8434396207
474	0.8430577874
475	0.8428833083
476	0.8426126576
477	0.8423688735
478	0.8421802021
479	0.8419997392
480	0.8418489608
481	0.8414959718
482	0.8411414427
483	0.8408377478
484	0.8403818131
485	0.8398904205
486	0.8396491452
487	0.839528145
488	0.8390487862
489	0.8388142375
490	0.8383494618
491	0.8382293571
492	0.8377213976
493	0.8373581491
494	0.8369547068
495	0.8365279751
496	0.836015542
497	0.8356793314
498	0.8349729869
499	0.8348163101
500	0.8345072304
501	0.8342319219
502	0.8337198109
503	0.8332574917
504	0.8328750512
505	0.8325035674
506	0.8322477226
507	0.8319275111
508	0.8317361096
509	0.831346438
510	0.831114692
511	0.8307820497
512	0.8304881936
513	0.830029635
514	0.8297260344
515	0.8296622341
516	0.8291642169
517	0.8287989818
518	0.828528177
519	0.8280684804
520	0.8275758013
521	0.8270216992
522	0.8267782365
523	0.8265761738
524	0.826359554
525	0.8262010462
526	0.8259323649
527	0.8257356653
528	0.8254550616
529	0.8253502014
530	0.8249123355
531	0.8246202518
532	0.8242549747
533	0.8240168025
534	0.823632783
535	0.8232722263
536	0.8226960703
537	0.8223940901
538	0.8221976337
539	0.8219712638
540	0.8217436921
541	0.8214077026
542	0.8210556408
543	0.8207708882
544	0.8204033082
545	0.8202687448
546	0.8200666541
547	0.819755007
548	0.8194376577
549	0.8192778096
550	0.8188035407
551	0.8185817565
552	0.8183487014
553	0.8179905506
554	0.8175481377
555	0.8173065716
556	0.8170191972
557	0.8166581403
558	0.8165870005
559	0.816408757
560	0.8162005971
561	0.8158320579
562	0.8153448893
563	0.8149973058
564	0.8147583114
565	0.8144238524
566	0.81380166
567	0.8135982856
568	0.8133425337
569	0.8131535597
570	0.8128414865
571	0.8126425616
572	0.8123050631
573	0.8119523084
574	0.8117442613
575	0.8114705783
576	0.8112259608
577	0.8109515457
578	0.8106876403
579	0.8102748698
580	0.8099073843
581	0.8097289496
582	0.8093971499
583	0.8089829268
584	0.8084994772
585	0.8081655867
586	0.8077055088
587	0.8074069513
588	0.8071567672
589	0.8068175514
590	0.8065584828
591	0.8062588672
592	0.8059808499
593	0.8056645814
594	0.8055881809
595	0.8054095596
596	0.804973326
597	0.8048017611
598	0.804433904
599	0.8041084598
600	0.8035742752
601	0.803364093
602	0.8030502449
603	0.8028884971
604	0.8026801333
605	0.802466703
606	0.8022429029
607	0.8020941837
608	0.8017147016
609	0.801393128
610	0.8009341089
611	0.8007379375
612	0.8004978306
613	0.8002940184
614	0.8000497526
615	0.7998250753
616	0.7993757319
617	0.7990940912
618	0.7988644418
619	0.7983619649
620	0.7979888591
621	0.7977062082
622	0.7974059373
623	0.7971522175
624	0.7970221436
625	0.7967886175
626	0.796210041
627	0.7958588064
628	0.7956629592
629	0.7953756144
630	0.7951755885
631	0.7947388188
632	0.7945903988
633	0.79403465
634	0.7936953413
635	0.7934969897
636	0.7930035004
637	0.7927710389
638	0.7925840671
639	0.7922097555
640	0.7919323986
641	0.7916054092
642	0.7914174987
643	0.7907128849
644	0.7905634278
645	0.7900947552
646	0.7899386709
647	0.789621577
648	0.789390832
649	0.7891617189
650	0.7888084604
651	0.7885146102
652	0.788392576
653	0.7881540673
654	0.7879732095
655	0.7875234721
656	0.7873028921
657	0.7868279716
658	0.786417242
659	0.7862433258
660	0.7857024054
661	0.7851421533
662	0.7848652033
663	0.7844968564
664	0.7840618516
665	0.7838147004
666	0.7835247299
667	0.7832950505
668	0.7831575995
669	0.7828094125
670	0.782561095
671	0.7824068042
672	0.7820711953
673	0.7817361956
674	0.7814605481
675	0.7811132539
676	0.7807532053
677	0.7804799754
678	0.7801245994
679	0.7799052317
680	0.7795938949
681	0.77934817
682	0.7791276182
683	0.7790103726
684	0.7787012766
685	0.7785443782
686	0.7782960768
687	0.778137337
688	0.7777169702
689	0.7773968576
690	0.777299959
691	0.7771384228
692	0.7767659783
693	0.7765800483
694	0.7763250692
695	0.7761839312
696	0.7757780189
697	0.7755921246
698	0.7754527722
699	0.7753017986
700	0.7751058595
701	0.7748840031
702	0.7746247281
703	0.7742505848
704	0.774020283
705	0.7736012179
706	0.7732513846
707	0.7729633073
708	0.7726668509
709	0.7722033518
710	0.7719449579
711	0.7715845709
712	0.7714291925
713	0.7710679185
714	0.7708846391
715	0.7706746463
716	0.7704220175
717	0.7701138686
718	0.7697570275
719	0.7693540451
720	0.7692007712
721	0.7689989572
722	0.7687826376
723	0.7684796324
724	0.7682257815
725	0.767826466
726	0.7675830394
727	0.7673687093
728	0.7670595526
729	0.7667871329
730	0.7665885986
731	0.766406427
732	0.7662515491
733	0.7659865537
734	0.7659145682
